Id,Label,weight,group,be_used
1,関数と変動,10,Function,0
101,関数,8,Function,0
10101,区間,6,Function,0
10102,逆関数,6,Function,0
10103,合成関数,6,Function,0
10104,座標,6,Function,1
1010401,極座標,4,Function,0
102,極限値,8,Function,6
10201,数列の極限値,6,Function,0
1020101,収束と発散,4,Function,0
102010101,収束定理,2,Function,0
102010102,収束半径,,,
1020102,はさみうちの定理,4,Function,0
1020103,コーシーの収束判定定理,4,Function,0
10202,関数の極限値,6,Function,12
1020201,極限値存在定理,4,Function,1
103,変数,8,Function,0
2,導関数,10,Derivative,3
201,微分係数,8,Derivative,1
20101,平均変化率,6,Derivative,0
20102,瞬間変化率,6,Derivative,1
20103,微分可能,6,Derivative,0
2010301,連続,4,Derivative,0
2010302,中間値の定理,,,
202,接線,8,Derivative,2
203,微分,8,Derivative,30
20301,無限小,6,Derivative,2
20302,微分商,6,Derivative,0
20104,導関数の計算公式と定理,6,Derivative,6
20303,相対誤差,6,Derivative,0
3,不定積分と導関数の計算,10,Indefinite Integral,0
301,原始関数,8,Indefinite Integral,0
30101,積分定数,6,Indefinite Integral,0
30102,積分の計算定理,6,Indefinite Integral,31
3010201,有理関数の積分法,4,integrals,0
3010202,三角関数の積分法,4,integrals,1
3010203,無理関数の積分法,4,integrals,1
3010204,指数関数の積分法,4,integrals,0
3010205,対数関数の積分法,4,integrals,0
302,合成関数の微分,8,Indefinite Integral,25
303,置換積分法,8,Indefinite Integral,6
30401,単調性,6,Indefinite Integral,0
30402,逆関数の微分計算,6,Indefinite Integral,1
305,部分積分法,8,Indefinite Integral,6
4,指数関数と対数関数,10,Exponential and Logarithmic ,0
40101,2項定理,6,Exponential and Logarithmic ,0
40102,自然対数,6,Exponential and Logarithmic ,0
402,指数関数と対数関数の導関数,8,Exponential and Logarithmic ,0
40201,対数関数の微分,6,Exponential and Logarithmic ,15
40202,指数関数の微分,6,Exponential and Logarithmic ,10
403,対数微分法,8,Exponential and Logarithmic ,0
404,双曲線関数,8,Exponential and Logarithmic ,0
40401,双曲線関数の公式,6,Exponential and Logarithmic ,0
40402,双曲線関数の導関数,6,Exponential and Logarithmic ,0
5,三角関数と逆三角関数,10,Trigonometric,0
501,三角関数,8,Trigonometric,0
50101,倍角の公式,6,Trigonometric,3
50102,半角の公式,6,Trigonometric,2
50103,三角関数の加法定理,6,Trigonometric,0
502,三角関数の導関数,8,Trigonometric,16
503,逆三角関数,8,Trigonometric,0
6,有理関数の不定積分,10,Rational,0
602,有理関数の積分に帰着される積分,8,Rational,0
60101,部分分数分解,6,Rational,0
7,定積分,10,Definite Integral,0
70101,積分可能,6,Definite Integral,0
70102,区分求積法,6,Definite Integral,0
70103,定積分の計算,6,Definite Integral,10
70104,定積分の定義,,,
70105,定積分の基本性質,,,
702,微分積分学の基本定理,8,Definite Integral,0
70201,積分の平均値の定理,6,Definite Integral,0
8,平均値の定理,10,Mean Value Theorem,0
80101,コーシーの平均値の定理,6,Mean Value Theorem,0
802,不定形の極限,8,Mean Value Theorem,0
80201,ロピタルの定理,6,Mean Value Theorem,0
9,テイラーの定理,10,Taylor Theorem,0
901,高階導関数,8,Taylor Theorem,0
90101,ライプニッツの公式,6,Taylor Theorem,0
90201,テイラー展開,6,Taylor Theorem,0
90202,マクローリン展開,6,Taylor Theorem,0
10,"関数の増加と減少,極値",10,Increase Decrease and Extremum,0
1001,関数の増減,8,Increase Decrease and Extremum,0
1002,極大値と極小値,8,Increase Decrease and Extremum,0
1003,関数の凹凸,8,Increase Decrease and Extremum,0
100301,変曲点,6,Increase Decrease and Extremum,0
11,積分の拡張,10,Integral Expansion,0
1101,広義積分,8,Integral Expansion,0
110101,有限区間における広義積分,6,Integral Expansion,0
110102,特異積分,6,Integral Expansion,0
110103,無限区間における広義積分,6,Integral Expansion,0
1102,ガンマ関数とベータ関数,8,Integral Expansion,0
12,面積と体積,10,Area and Volume,0
1201,面積,8,Area and Volume,0
1202,曲線の長さ,8,Area and Volume,0
1203,回転体の体積,8,Area and Volume,0
1204,回転体の側面積,8,Area and Volume,0
13,平面曲線,10,Plane Curve,0
1301,曲線のパラメーター表示,8,Plane Curve,0
1302,曲率,8,Plane Curve,0
130201,曲率半径,6,Plane Curve,0
1303,伸開線と縮閉線,8,Plane Curve,0
14,級数,10,Series,0
1401,無限級数,8,Series,0
140101,正項級数,6,Series,0
140102,コーシーの判定法,6,Series,0
140103,積分の級数の収束への応用,6,Series,0
1402,テイラー級数,8,Series,0
15,微分方程式,10,Differential Equation,0
1501,微分方程式解の種類,8,Differential Equation,0
150101,初期条件,6,Differential Equation,0
1502,1階常微分方程式,8,Differential Equation,0
150201,同次形,6,Differential Equation,0
1503,2階線形微分方程式,8,Differential Equation,0
150301,基本解,6,Differential Equation,0
